part_name,category,compatible_fuels,symptoms_if_broken,image_filename
Keyless Entry / Start Module,Management,gasoline;diesel;hybrid;electric,Key fob not recognized;car won't start,keyless_entry___start_module.jpg
Gateway Module,Management,gasoline;diesel;hybrid;electric,Communication errors between modules;multiple warning lights,gateway_module.jpg
Infotainment / Head Unit,Management,gasoline;diesel;hybrid;electric,No audio/navigation;screen not working;Bluetooth failure,infotainment___head_unit.jpg
Telematics Control Unit,Management,gasoline;diesel;hybrid;electric,Connected services not working;GPS failures,telematics_control_unit.jpg
Night Vision Module,Management,gasoline;diesel;hybrid;electric,Night vision camera not functioning;display errors,night_vision_module.jpg
Clutch Disc / Friction Plate,Clutch / parts,gasoline;diesel;hybrid,Slipping clutch;burning smell;poor power transfer;difficulty engaging gears,clutch_disc___friction_plate.jpg
Clutch Pressure Plate,Clutch / parts,gasoline;diesel;hybrid,Clutch slipping;judder;poor engagement;vibration,clutch_pressure_plate.jpg
Clutch Release Bearing / Throw-Out Bearing,Clutch / parts,gasoline;diesel;hybrid,Squealing/grinding when clutch pressed;difficulty changing gears,clutch_release_bearing___throw-out_bearing.jpg
Clutch Fork / Release Fork,Clutch / parts,gasoline;diesel;hybrid,Clutch not disengaging;grinding noise;difficulty selecting gears,clutch_fork___release_fork.jpg
Clutch Cable,Clutch / parts,gasoline;diesel;hybrid,Stiff clutch pedal;clutch not disengaging;cable snapping,clutch_cable.jpg
Clutch Master Cylinder,Clutch / parts,gasoline;diesel;hybrid,Spongy clutch pedal;clutch not disengaging;fluid leak,clutch_master_cylinder.jpg
Clutch Slave Cylinder (external),Clutch / parts,gasoline;diesel;hybrid,Clutch not working;fluid leak;spongy pedal,clutch_slave_cylinder_external.jpg
Clutch Slave Cylinder (concentric/internal CSC),Clutch / parts,gasoline;diesel;hybrid,Clutch failure;fluid leak inside bellhousing;spongy pedal,clutch_slave_cylinder_concentric_internal_csc.jpg
Dual Mass Flywheel (DMF),Clutch / parts,gasoline;diesel;hybrid,Vibration;clutch judder;rattling at idle;shudder on take-off,dual_mass_flywheel_dmf.jpg
Solid Flywheel (single mass conversion),Clutch / parts,gasoline;diesel;hybrid,Vibration if paired incorrectly;noise at idle,solid_flywheel_single_mass_conversion.jpg
Clutch Kit (disc + pressure plate + bearing),Clutch / parts,gasoline;diesel;hybrid,Slipping;judder;difficulty changing gears;burning smell,clutch_kit_disc__pressure_plate__bearing.jpg
Clutch Pedal,Clutch / parts,gasoline;diesel;hybrid,Clutch not operating;stiff/spongy feel,clutch_pedal.jpg
Clutch Hydraulic Line / Pipe,Clutch / parts,gasoline;diesel;hybrid,Fluid leak;spongy pedal;clutch not disengaging,clutch_hydraulic_line___pipe.jpg
CV Joint (inner),Planetary Joint / Planetary,gasoline;diesel;hybrid;electric,Vibration under load;clunking;clicking noise on acceleration,cv_joint_inner.jpg
CV Joint (outer),Planetary Joint / Planetary,gasoline;diesel;hybrid;electric,Clicking noise on turns;vibration;clunking under load,cv_joint_outer.jpg
CV Axle Shaft / Driveshaft (front),Planetary Joint / Planetary,gasoline;diesel;hybrid;electric,Vibration;clicking;shudder on acceleration,cv_axle_shaft___driveshaft_front.jpg
CV Boot (inner),Planetary Joint / Planetary,gasoline;diesel;hybrid;electric,Grease leak;clicking noise (early CV joint wear),cv_boot_inner.jpg
CV Boot (outer),Planetary Joint / Planetary,gasoline;diesel;hybrid;electric,Grease spray on wheel;clicking;CV joint wear,cv_boot_outer.jpg
CV Boot Kit,Planetary Joint / Planetary,gasoline;diesel;hybrid;electric,Grease leak;contaminated CV joint;premature wear,cv_boot_kit.jpg
Tripod Joint / Spider Joint,Planetary Joint / Planetary,gasoline;diesel;hybrid;electric,Vibration;clunking;shudder at low speed,tripod_joint___spider_joint.jpg
Rzeppa Joint,Planetary Joint / Planetary,gasoline;diesel;hybrid;electric,Clicking on tight turns;vibration,rzeppa_joint.jpg
Driveshaft Circlip / Snap Ring,Planetary Joint / Planetary,gasoline;diesel;hybrid;electric,Driveshaft pulling out;vibration;clunking,driveshaft_circlip___snap_ring.jpg
Air Spring / Air Bag (front),Air suspension,gasoline;diesel;hybrid;electric,Vehicle sagging;harsh ride;air suspension warning light,air_spring___air_bag_front.jpg
Air Spring / Air Bag (rear),Air suspension,gasoline;diesel;hybrid;electric,Rear sagging;poor ride quality;warning light,air_spring___air_bag_rear.jpg
Air Compressor,Air suspension,gasoline;diesel;hybrid;electric,Slow leveling;compressor running constantly;suspension warning,air_compressor.jpg
Air Supply Line / Hose,Air suspension,gasoline;diesel;hybrid;electric,Air leak;suspension not maintaining height;sagging,air_supply_line___hose.jpg
Air Suspension Control Module,Air suspension,gasoline;diesel;hybrid;electric,Warning light;incorrect ride height;compressor not activating,air_suspension_control_module.jpg
Height Sensor,Air suspension,gasoline;diesel;hybrid;electric,Incorrect leveling;warning light;one corner too high or low,height_sensor.jpg
Air Reservoir / Tank,Air suspension,gasoline;diesel;hybrid;electric,Slow air supply;compressor overworking;sagging after sitting,air_reservoir___tank.jpg
Valve Block / Solenoid Block,Air suspension,gasoline;diesel;hybrid;electric,Air leaks;one corner sagging;warning light,valve_block___solenoid_block.jpg
Air Dryer,Air suspension,gasoline;diesel;hybrid;electric,Moisture in system;compressor damage;poor system reliability,air_dryer.jpg
Tow Bar / Towbar,Towing system / parts,gasoline;diesel;hybrid;electric,Cannot tow trailer;structural failure risk,tow_bar___towbar.jpg
Towbar Wiring Harness (7-pin / 13-pin),Towing system / parts,gasoline;diesel;hybrid;electric,Trailer lights not working;no brake light signal to trailer,towbar_wiring_harness_7-pin___13-pin.jpg
Tow Ball,Towing system / parts,gasoline;diesel;hybrid;electric,Trailer not coupling securely;safety risk,tow_ball.jpg
Tow Ball Cover / Cap,Towing system / parts,gasoline;diesel;hybrid;electric,Tow ball exposed to corrosion and dirt,tow_ball_cover___cap.jpg
Tow Hitch Receiver,Towing system / parts,gasoline;diesel;hybrid;electric,Cannot attach tow accessories;structural weakness,tow_hitch_receiver.jpg
Trailer Socket (7-pin/13-pin),Towing system / parts,gasoline;diesel;hybrid;electric,Trailer lights not functioning;no power to trailer,trailer_socket_7-pin_13-pin.jpg
Safety Chain / Safety Cable,Towing system / parts,gasoline;diesel;hybrid;electric,No secondary trailer retention in case of coupling failure,safety_chain___safety_cable.jpg
Gearbox (manual),Gearbox,gasoline;diesel;hybrid,Difficulty shifting;grinding gears;jumping out of gear;oil leak,gearbox_manual.jpg
Gearbox (automatic),Gearbox,gasoline;diesel;hybrid,Rough/erratic shifts;slipping;delayed engagement;overheating,gearbox_automatic.jpg
Gearbox (DCT - Dual Clutch),Gearbox,gasoline;diesel;hybrid,Jerky low-speed movement;shudder;poor shift response,gearbox_dct_-_dual_clutch.jpg
Gearbox (CVT - Continuously Variable),Gearbox,gasoline;diesel;hybrid,Belt slipping;whining noise;loss of drive;poor fuel economy,gearbox_cvt_-_continuously_variable.jpg
Gearbox Mount,Gearbox,gasoline;diesel;hybrid,Vibration;clunking;excessive drivetrain movement,gearbox_mount.jpg
Gear Selector / Shift Linkage,Gearbox,gasoline;diesel;hybrid,Difficulty selecting gears;wrong gear engaged;selector loose,gear_selector___shift_linkage.jpg
Shift Fork,Gearbox,gasoline;diesel;hybrid,Gears jumping out;grinding;difficulty selecting gears,shift_fork.jpg
Synchromesh Ring,Gearbox,gasoline;diesel;hybrid,Grinding when changing gears;difficulty engaging gear,synchromesh_ring.jpg
Input Shaft,Gearbox,gasoline;diesel;hybrid,Vibration;noise;difficulty engaging first gear,input_shaft.jpg
Output Shaft,Gearbox,gasoline;diesel;hybrid,Vibration;noise;gearbox leak,output_shaft.jpg
Gearbox Bearing,Gearbox,gasoline;diesel;hybrid,Whining or grinding noise;vibration;gearbox damage,gearbox_bearing.jpg
Gearbox Gasket Set,Gearbox,gasoline;diesel;hybrid,Oil leaks from gearbox casing,gearbox_gasket_set.jpg
Gearbox Oil Seal,Gearbox,gasoline;diesel;hybrid,Oil leak from gearbox;fluid loss,gearbox_oil_seal.jpg
Automatic Gearbox Valve Body,Gearbox,gasoline;diesel;hybrid,Erratic shifting;slipping;delayed engagement;no movement,automatic_gearbox_valve_body.jpg
Torque Converter,Gearbox,gasoline;diesel;hybrid,Shudder at low speed;no drive;overheating transmission,torque_converter.jpg
Torque Converter Lock-Up Clutch,Gearbox,gasoline;diesel;hybrid,Shudder at highway speeds;poor fuel economy,torque_converter_lock-up_clutch.jpg
Reverse Gear Assembly,Gearbox,gasoline;diesel;hybrid,No reverse engagement;grinding in reverse,reverse_gear_assembly.jpg
AC Compressor,Air conditioning system,gasoline;diesel;hybrid;electric,No cold air;compressor not engaging;belt squealing;rattling noise,ac_compressor.jpg
AC Condenser,Air conditioning system,gasoline;diesel;hybrid;electric,Poor cooling;refrigerant leak;AC not cold enough,ac_condenser.jpg
AC Evaporator,Air conditioning system,gasoline;diesel;hybrid;electric,No cold air;musty smell;water on passenger floor;AC not cooling,ac_evaporator.jpg
AC Receiver Drier / Accumulator,Air conditioning system,gasoline;diesel;hybrid;electric,Poor AC performance;moisture in system;compressor damage,ac_receiver_drier___accumulator.jpg
AC Expansion Valve / Orifice Tube,Air conditioning system,gasoline;diesel;hybrid;electric,AC not cooling;icing up;weak airflow,ac_expansion_valve___orifice_tube.jpg
AC Compressor Clutch,Air conditioning system,gasoline;diesel;hybrid;electric,Compressor not engaging;no cold air;clicking noise,ac_compressor_clutch.jpg
AC Pressure Switch / Sensor,Air conditioning system,gasoline;diesel;hybrid;electric,AC cutting out;compressor not engaging;fault codes,ac_pressure_switch___sensor.jpg
AC High Pressure Line / Hose,Air conditioning system,gasoline;diesel;hybrid;electric,Refrigerant leak;no cold air;hissing noise,ac_high_pressure_line___hose.jpg
AC Low Pressure Line / Hose,Air conditioning system,gasoline;diesel;hybrid;electric,Refrigerant leak;no cold air,ac_low_pressure_line___hose.jpg
AC Blower Motor (see Electrical/Heating),Air conditioning system,gasoline;diesel;hybrid;electric,No airflow from vents;weak airflow,ac_blower_motor_see_electrical_heating.jpg
AC Blend Door Actuator (see Heating),Air conditioning system,gasoline;diesel;hybrid;electric,Stuck at one temperature;clicking from dash,ac_blend_door_actuator_see_heating.jpg
AC Condenser Fan,Air conditioning system,gasoline;diesel;hybrid;electric,Poor AC performance;condenser overheating,ac_condenser_fan.jpg
Wheel Bearing (front),Bearings,gasoline;diesel;hybrid;electric,Humming/grinding noise that changes with speed;wheel wobble;ABS issues,wheel_bearing_front.jpg
Wheel Bearing (rear),Bearings,gasoline;diesel;hybrid;electric,Humming/grinding noise from rear;wheel wobble,wheel_bearing_rear.jpg
Hub Bearing / Wheel Hub Assembly,Bearings,gasoline;diesel;hybrid;electric,Humming noise;play in wheel;ABS sensor faults,hub_bearing___wheel_hub_assembly.jpg
Crankshaft Main Bearing,Bearings,gasoline;diesel;hybrid,Knocking noise;low oil pressure;engine failure,crankshaft_main_bearing.jpg
Crankshaft Thrust Bearing,Bearings,gasoline;diesel;hybrid,Fore-aft crankshaft movement;knocking;engine damage,crankshaft_thrust_bearing.jpg
Connecting Rod Bearing,Bearings,gasoline;diesel;hybrid,Knocking noise (rod knock);engine oil pressure drop;seizure,connecting_rod_bearing.jpg
Camshaft Bearing,Bearings,gasoline;diesel;hybrid,Ticking noise;oil pressure loss;valve timing issues,camshaft_bearing.jpg
Gearbox Bearing (input/output shaft),Bearings,gasoline;diesel;hybrid,Whining or grinding from gearbox;vibration,gearbox_bearing_input_output_shaft.jpg
Differential Bearing,Bearings,gasoline;diesel;hybrid,Whining noise from axle;vibration;differential overheating,differential_bearing.jpg
Alternator Bearing,Bearings,gasoline;diesel;hybrid,Whining noise from alternator;bearing seizure;charging failure,alternator_bearing.jpg
Water Pump Bearing,Bearings,gasoline;diesel;hybrid,Coolant leak;grinding noise;water pump seizure,water_pump_bearing.jpg
Idler Pulley Bearing,Bearings,gasoline;diesel;hybrid,Squealing;rattling;belt wear;pulley seizure,idler_pulley_bearing.jpg
Tensioner Bearing,Bearings,gasoline;diesel;hybrid,Squealing;belt wear;timing/drive belt failure,tensioner_bearing.jpg
Pilot Bearing / Clutch Pilot Bushing,Bearings,gasoline;diesel;hybrid,Noise when clutch depressed;difficulty engaging gears,pilot_bearing___clutch_pilot_bushing.jpg
Cardan Shaft / Propshaft (front),Cardan shafts and differentials,gasoline;diesel;hybrid,Vibration;clunking;driveline shudder,cardan_shaft___propshaft_front.jpg
Cardan Shaft / Propshaft (rear),Cardan shafts and differentials,gasoline;diesel;hybrid;electric,Vibration;clunking;shudder under load,cardan_shaft___propshaft_rear.jpg
Universal Joint (UJ) for Cardan shaft,Cardan shafts and differentials,gasoline;diesel;hybrid,Clunking;vibration at certain speeds;driveline shudder,universal_joint_uj_for_cardan_shaft.jpg
Center Bearing / Support Bearing (propshaft),Cardan shafts and differentials,gasoline;diesel;hybrid,Vibration;humming;clunking,center_bearing___support_bearing_propshaft.jpg
Front Differential,Cardan shafts and differentials,gasoline;diesel;hybrid,Whining;poor 4WD traction;clunking,front_differential.jpg
Rear Differential,Cardan shafts and differentials,gasoline;diesel;hybrid;electric,Whining noise;vibration;axle binding;poor traction,rear_differential.jpg
Differential Carrier,Cardan shafts and differentials,gasoline;diesel;hybrid,Whining;vibration;oil leak,differential_carrier.jpg
Ring and Pinion Gear Set,Cardan shafts and differentials,gasoline;diesel;hybrid,Whining noise from axle;vibration;poor fuel economy,ring_and_pinion_gear_set.jpg
Limited Slip Differential (LSD),Cardan shafts and differentials,gasoline;diesel;hybrid,Loss of traction;chattering on turns;vibration,limited_slip_differential_lsd.jpg
Locking Differential,Cardan shafts and differentials,gasoline;diesel;hybrid,Inability to lock diff;vibration;poor off-road traction,locking_differential.jpg
Transfer Case,Cardan shafts and differentials,gasoline;diesel;hybrid,Difficulty switching 4WD modes;grinding;vibration;4WD not engaging,transfer_case.jpg
Transfer Case Actuator,Cardan shafts and differentials,gasoline;diesel;hybrid,4WD not engaging;warning light;motor noise,transfer_case_actuator.jpg
Axle Shaft (rear),Cardan shafts and differentials,gasoline;diesel;hybrid,Clunking;vibration;wheel wobble;axle failure,axle_shaft_rear.jpg
Axle Shaft Seal,Cardan shafts and differentials,gasoline;diesel;hybrid,Differential oil leak at wheel;contamination of brakes,axle_shaft_seal.jpg
Half Shaft (front),Cardan shafts and differentials,gasoline;diesel;hybrid;electric,Clicking on turns;vibration;clunking under load,half_shaft_front.jpg
Oxygen Sensor / Lambda Sensor (upstream),Sensors relays control units,gasoline;hybrid,Poor fuel economy;rough idle;check engine light;failed emissions,oxygen_sensor___lambda_sensor_upstream.jpg
Oxygen Sensor / Lambda Sensor (downstream),Sensors relays control units,gasoline;hybrid,Check engine light;catalytic converter monitoring failure,oxygen_sensor___lambda_sensor_downstream.jpg
Mass Air Flow (MAF) Sensor,Sensors relays control units,gasoline;diesel;hybrid,Rough idle;poor fuel economy;black smoke;check engine light,mass_air_flow_maf_sensor.jpg
Manifold Absolute Pressure (MAP) Sensor,Sensors relays control units,gasoline;diesel;hybrid,Rough idle;poor performance;check engine light,manifold_absolute_pressure_map_sensor.jpg
Throttle Position Sensor (TPS),Sensors relays control units,gasoline;diesel;hybrid,Poor acceleration;erratic idle;hesitation;check engine light,throttle_position_sensor_tps.jpg
Crankshaft Position Sensor (CKP),Sensors relays control units,gasoline;diesel;hybrid,Engine won't start;stalling;misfires;check engine light,crankshaft_position_sensor_ckp.jpg
Camshaft Position Sensor (CMP),Sensors relays control units,gasoline;diesel;hybrid,Rough idle;hard starting;misfires;check engine light,camshaft_position_sensor_cmp.jpg
Coolant Temperature Sensor (ECT),Sensors relays control units,gasoline;diesel;hybrid,Incorrect temp gauge;poor cold start;check engine light,error.jpg
Intake Air Temperature Sensor (IAT),Sensors relays control units,gasoline;diesel;hybrid,Check engine light;poor fuel economy;rough idle,intake_air_temperature_sensor_iat.jpg
Knock Sensor,Sensors relays control units,gasoline;diesel;hybrid,Engine knock;reduced power;check engine light,knock_sensor.jpg
Oil Pressure Sensor / Switch,Sensors relays control units,gasoline;diesel;hybrid,Oil warning light on when not needed;no warning when pressure drops,oil_pressure_sensor___switch.jpg
Fuel Pressure Sensor,Sensors relays control units,gasoline;diesel;hybrid,Check engine light;poor fuel delivery;misfires,fuel_pressure_sensor.jpg
Exhaust Gas Temperature Sensor,Sensors relays control units,gasoline;diesel;hybrid,Check engine light;DPF management issues;overheating of exhaust,exhaust_gas_temperature_sensor.jpg
NOx Sensor,Sensors relays control units,diesel;hybrid,Check engine light;emissions system fault;SCR malfunction,nox_sensor.jpg
Particulate Matter Sensor,Sensors relays control units,diesel;hybrid,DPF fault codes;check engine light;emissions failure,particulate_matter_sensor.jpg
Boost Pressure Sensor,Sensors relays control units,gasoline;diesel;hybrid,Boost fault codes;poor performance;overboost/underboost,boost_pressure_sensor.jpg
ABS Wheel Speed Sensor,Sensors relays control units,gasoline;diesel;hybrid;electric,ABS/ESP warning light;ABS not activating;traction control issues,abs_wheel_speed_sensor.jpg
Steering Angle Sensor,Sensors relays control units,gasoline;diesel;hybrid;electric,ESC/ABS warning;stability control issues;incorrect steering data,steering_angle_sensor.jpg
Yaw Rate Sensor,Sensors relays control units,gasoline;diesel;hybrid;electric,ESC not working correctly;stability control warning,yaw_rate_sensor.jpg
Accelerometer / G-Sensor,Sensors relays control units,gasoline;diesel;hybrid;electric,Stability control faults;incorrect airbag deployment,accelerometer___g-sensor.jpg
Rain Sensor,Sensors relays control units,gasoline;diesel;hybrid;electric,Auto wipers not activating;incorrect wiper speed,rain_sensor.jpg
Light Sensor (ambient),Sensors relays control units,gasoline;diesel;hybrid;electric,Auto headlights not activating;incorrect DRL behavior,light_sensor_ambient.jpg
Park Distance Control Sensor (PDC/Ultrasonic),Sensors relays control units,gasoline;diesel;hybrid;electric,Parking sensors not beeping;false alarms;parking aid disabled,park_distance_control_sensor_pdc_ultrasonic.jpg
Reverse Camera,Sensors relays control units,gasoline;diesel;hybrid;electric,No reverse camera image;distorted image,reverse_camera.jpg
Fuel Level Sensor,Sensors relays control units,gasoline;diesel;hybrid,Incorrect fuel gauge reading;false low fuel warning,fuel_level_sensor.jpg
Main Relay,Sensors relays control units,gasoline;diesel;hybrid,Car won't start;electrical system not powering up,main_relay.jpg
Fuel Pump Relay,Sensors relays control units,gasoline;diesel;hybrid,No fuel delivery;engine won't start;stalling,fuel_pump_relay.jpg
Horn Relay,Sensors relays control units,gasoline;diesel;hybrid;electric,No horn function;horn stuck on,horn_relay.jpg
AC Compressor Relay,Sensors relays control units,gasoline;diesel;hybrid;electric,AC not working;compressor not engaging,ac_compressor_relay.jpg
Glow Plug Relay / Timer,Sensors relays control units,diesel;hybrid,Hard cold starting;glow plugs not heating;rough cold idle,glow_plug_relay___timer.jpg
Cooling Fan Relay,Sensors relays control units,gasoline;diesel;hybrid;electric,Fan not running;engine overheating at idle,cooling_fan_relay.jpg
Seat Belt Reminder Relay,Sensors relays control units,gasoline;diesel;hybrid;electric,No seat belt warning chime,seat_belt_reminder_relay.jpg
Roof Rack / Cross Bars,Car accessories online,gasoline;diesel;hybrid;electric,No roof cargo capability;poor load security if faulty,roof_rack___cross_bars.jpg
Cargo Net,Car accessories online,gasoline;diesel;hybrid;electric,Unsecured cargo movement in boot,cargo_net.jpg
Trunk Organizer,Car accessories online,gasoline;diesel;hybrid;electric,Disorganized boot; items rolling around,trunk_organizer.jpg
Dash Camera (dashcam),Car accessories online,gasoline;diesel;hybrid;electric,No video evidence in accidents,dash_camera_dashcam.jpg
Reversing Camera (aftermarket),Car accessories online,gasoline;diesel;hybrid;electric,No rear visibility aid,reversing_camera_aftermarket.jpg
GPS / Navigation System (portable),Car accessories online,gasoline;diesel;hybrid;electric,No navigation guidance,gps___navigation_system_portable.jpg
Phone Holder / Mount,Car accessories online,gasoline;diesel;hybrid;electric,Unsafe phone use while driving,phone_holder___mount.jpg
Car Seat Cover,Car accessories online,gasoline;diesel;hybrid;electric,Seat wear;uncomfortable seating,car_seat_cover.jpg
Steering Wheel Cover,Car accessories online,gasoline;diesel;hybrid;electric,Poor grip;worn wheel aesthetics,steering_wheel_cover.jpg
Floor Mats (rubber / all-weather),Car accessories online,gasoline;diesel;hybrid;electric,Poor floor protection;potential pedal interference if loose,floor_mats_rubber___all-weather.jpg
Sun Shade / Windscreen Protector,Car accessories online,gasoline;diesel;hybrid;electric,Overheated interior;UV dashboard damage,sun_shade___windscreen_protector.jpg
Child Seat / Booster Seat,Car accessories online,gasoline;diesel;hybrid;electric,Child safety risk without correct restraint,child_seat___booster_seat.jpg
Dog Guard / Pet Barrier,Car accessories online,gasoline;diesel;hybrid;electric,Unsecured pets becoming dangerous projectiles,dog_guard___pet_barrier.jpg
Tow Strap / Recovery Strap,Car accessories online,gasoline;diesel;hybrid;electric,No recovery option if vehicle gets stuck,tow_strap___recovery_strap.jpg
Jump Leads / Jump Starter,Car accessories online,gasoline;diesel;hybrid,No way to jump-start dead battery,jump_leads___jump_starter.jpg
Tyre Pressure Gauge,Car accessories online,gasoline;diesel;hybrid;electric,Incorrect tire pressure monitoring,tyre_pressure_gauge.jpg
First Aid Kit,Car accessories online,gasoline;diesel;hybrid;electric,No medical supplies in emergency,first_aid_kit.jpg
Warning Triangle / Road Flares,Car accessories online,gasoline;diesel;hybrid;electric,No roadside warning for oncoming traffic,warning_triangle___road_flares.jpg
Fire Extinguisher,Car accessories online,gasoline;diesel;hybrid;electric,No fire suppression ability in emergency,fire_extinguisher.jpg
Engine Oil (repair kit use),Repair kit,gasoline;diesel;hybrid,Engine damage from incorrect refill,engine_oil_repair_kit_use.jpg
Brake Fluid (repair kit use),Repair kit,gasoline;diesel;hybrid;electric,Brake failure from contaminated or wrong fluid,brake_fluid_repair_kit_use.jpg
Coolant (premixed repair kit),Repair kit,gasoline;diesel;hybrid;electric,Overheating;improper freeze protection,coolant_premixed_repair_kit.jpg
Sealant / Gasket Maker,Repair kit,gasoline;diesel;hybrid;electric,Improper sealing;fluid leaks;contamination,sealant___gasket_maker.jpg
Thread Repair Kit (Helicoil),Repair kit,gasoline;diesel;hybrid;electric,Stripped threads in aluminum;fastener pull-out,thread_repair_kit_helicoil.jpg
Brake Caliper Repair Kit (seals + dust boots),Repair kit,gasoline;diesel;hybrid;electric,Leaking caliper;seized brakes;uneven wear,brake_caliper_repair_kit_seals__dust_boots.jpg
Wheel Cylinder Repair Kit,Repair kit,gasoline;diesel;hybrid,Brake fluid leak;loss of drum braking,wheel_cylinder_repair_kit.jpg
Master Cylinder Repair Kit,Repair kit,gasoline;diesel;hybrid;electric,Spongy pedal;brake fluid leak,master_cylinder_repair_kit.jpg
Clutch Cylinder Repair Kit,Repair kit,gasoline;diesel;hybrid,Spongy clutch;fluid leak,clutch_cylinder_repair_kit.jpg
Differential Seal and Gasket Kit,Repair kit,gasoline;diesel;hybrid,Oil leak from differential;oil loss,differential_seal_and_gasket_kit.jpg
Gearbox Seal and Gasket Kit,Repair kit,gasoline;diesel;hybrid,Oil leak from gearbox;fluid loss,gearbox_seal_and_gasket_kit.jpg
Engine Seal and Gasket Kit,Repair kit,gasoline;diesel;hybrid,Oil/coolant leaks from engine,engine_seal_and_gasket_kit.jpg
CV Boot Repair Kit,Repair kit,gasoline;diesel;hybrid;electric,Grease leak;premature CV joint wear,cv_boot_repair_kit.jpg
Shock Absorber Seal Kit,Repair kit,gasoline;diesel;hybrid;electric,Oil leak from shock;poor damping,shock_absorber_seal_kit.jpg
Electrical Repair Kit (connectors/terminals),Repair kit,gasoline;diesel;hybrid;electric,Electrical faults from corroded/broken connectors,electrical_repair_kit_connectors_terminals.jpg
Wiring Repair Tape / Heat Shrink,Repair kit,gasoline;diesel;hybrid;electric,Short circuits;wiring insulation failure,wiring_repair_tape___heat_shrink.jpg
Oxygen Sensor Thread Repair Kit,Repair kit,gasoline;diesel;hybrid,O2 sensor not seating correctly;exhaust leak,oxygen_sensor_thread_repair_kit.jpg
Radiator Stop Leak / Repair Additive,Repair kit,gasoline;diesel;hybrid;electric,Temporary coolant leak fix only;not a permanent repair,radiator_stop_leak___repair_additive.jpg
Diagnostic Scanner / OBD-II Reader,Professional tools,gasoline;diesel;hybrid;electric,Cannot read fault codes;blind troubleshooting,diagnostic_scanner___obd-ii_reader.jpg
Timing Light,Professional tools,gasoline,Cannot verify ignition timing;incorrect timing,timing_light.jpg
Compression Tester,Professional tools,gasoline;diesel;hybrid,Cannot test engine compression;missed internal wear diagnosis,compression_tester.jpg
Leak-Down Tester,Professional tools,gasoline;diesel;hybrid,Cannot diagnose valve/ring/gasket leaks,leak-down_tester.jpg
Torque Wrench,Professional tools,gasoline;diesel;hybrid;electric,Incorrect fastener torque;component damage or failure,torque_wrench.jpg
Impact Wrench,Professional tools,gasoline;diesel;hybrid;electric,Difficulty removing seized fasteners;slow work,impact_wrench.jpg
Spark Plug Socket,Professional tools,gasoline;hybrid,Cannot change spark plugs without risk of damage,spark_plug_socket.jpg
Oil Filter Wrench,Professional tools,gasoline;diesel;hybrid,Cannot remove tight oil filters;damage to filter,oil_filter_wrench.jpg
Brake Caliper Wind-Back Tool,Professional tools,gasoline;diesel;hybrid;electric,Cannot compress electric parking brake calipers;piston damage,brake_caliper_wind-back_tool.jpg
Brake Bleeder Kit,Professional tools,gasoline;diesel;hybrid;electric,Cannot bleed brakes properly;air in brake lines,brake_bleeder_kit.jpg
Coolant Pressure Tester,Professional tools,gasoline;diesel;hybrid;electric,Cannot diagnose coolant leaks;missed head gasket failure,coolant_pressure_tester.jpg
AC Manifold Gauge Set,Professional tools,gasoline;diesel;hybrid;electric,Cannot diagnose AC pressures;incorrect refrigerant charge,ac_manifold_gauge_set.jpg
Vacuum Pump,Professional tools,gasoline;diesel;hybrid;electric,Cannot test vacuum actuators;cannot evacuate AC system,vacuum_pump.jpg
Injector Tester / Cleaner,Professional tools,gasoline;diesel;hybrid,Cannot test injector spray pattern;missed injector faults,injector_tester___cleaner.jpg
Engine Hoist / Crane,Professional tools,gasoline;diesel;hybrid;electric,Cannot remove engine safely,engine_hoist___crane.jpg
Transmission Jack,Professional tools,gasoline;diesel;hybrid;electric,Cannot safely support/remove transmission,transmission_jack.jpg
Spring Compressor,Professional tools,gasoline;diesel;hybrid;electric,Cannot safely remove coil springs;injury risk,spring_compressor.jpg
Ball Joint Press,Professional tools,gasoline;diesel;hybrid;electric,Cannot remove/install ball joints without damage,ball_joint_press.jpg
Bearing Puller Set,Professional tools,gasoline;diesel;hybrid;electric,Cannot remove bearings without damaging housings,bearing_puller_set.jpg
Pulley Puller / Installer,Professional tools,gasoline;diesel;hybrid,Cannot remove crankshaft or alternator pulleys,pulley_puller___installer.jpg
Harmonic Balancer Puller,Professional tools,gasoline;diesel;hybrid,Cannot remove harmonic balancer safely,harmonic_balancer_puller.jpg
Radiator Hose (upper),Connections and hoses,gasoline;diesel;hybrid;electric,Coolant leak;overheating;hose collapse,radiator_hose_upper.jpg
Radiator Hose (lower),Connections and hoses,gasoline;diesel;hybrid;electric,Coolant leak;overheating;hose collapse,radiator_hose_lower.jpg
Heater Hose (inlet/outlet),Connections and hoses,gasoline;diesel;hybrid,Coolant leak;no cabin heat,heater_hose_inlet_outlet.jpg
Turbo Intercooler Hose,Connections and hoses,gasoline;diesel;hybrid,Boost leak;loss of power;hissing noise,turbo_intercooler_hose.jpg
Intercooler Coupler,Connections and hoses,gasoline;diesel;hybrid,Boost leak;split coupler;loss of power,intercooler_coupler.jpg
Vacuum Hose,Connections and hoses,gasoline;diesel;hybrid,Vacuum leak;rough idle;brake servo not working;poor performance,vacuum_hose.jpg
Brake Hose (flexible),Connections and hoses,gasoline;diesel;hybrid;electric,Restricted braking;spongy pedal;fluid leak;vehicle pulling,brake_hose_flexible.jpg
